idRace;nomRace
1;Affenpinscher
2;Akita
3;Akita americain
4;Americain bully
5;American Staffordshire Terrier
6;Amstaff
7;Ariegeois
8;Barzoï
9;Basset des Alpes
10;Basset
11;Beagle
12;Beauceron
13;Berger
14;Berger allemand
15;Berger Australien
16;Berger belge
17;Berger de beauce
18;Berger Hollandais
19;Bernhardiner
20;Bichon havanais
21;Bichon maltais
22;Billy
23;Bleu de gascogne
24;Boerbull
25;Boersoel
26;Border collie
27;Bouledogue
28;Bouledogue Anglais
29;Bouledogue français
30;Bouvier bernois
31;Boxer
32;Braque francais
33;Bruno du jura
34;Bullmastiff
35;Cane corso
36;Caniche
37;Carlin
38;Cavalier King Charles
39;Cavalier King Charles Spaniel
40;Chasse
41;Chihuahua
42;Cocker
43;Cocker américain
44;Cocker anglais
45;Colley
46;Dalmatien
47;Danois
48;Dobermann
49;Dogue
50;Dogue allemand
51;Dogue argentin
52;Epagneul
53;Epagneul breton
54;Épagneul tibétain
55;Eurasier
56;Fox terrier
57;Golden Retriever
58;Griffon
59;Griffon korthal
60;Groenendael
61;Hokkaïdo
62;Husky
63;Irish terrier
64;Irish wolfhound
65;Italian greyhound
66;Jack Russell
67;Jagdterrier allemand
68;Komondor
69;Labrador
70;Landseer
71;Lévrier
72;Lévrier afghan
73;Lévrier anglais
74;Lévrier ecossais
75;Lévrier espagnol
76;Lévrier hongrois
77;Lévrier irlandais
78;Lévrier polonais
79;Lévrier sicilien
80;Lévrier whippet
81;Lhassa apso
82;Loulou nain
83;Malinois
84;Maltais
85;Manchester terrier
86;Mastiff
87;Mastiff tibétain
88;Mâtin de navarre
89;Mâtin des pyrénées
90;Mâtin espagnol
91;Mâtin napolitain
92;Montagne des pyrénées
93;Mops
94;Newfoundland
95;Norfolk-terrier
96;Norwich terrier
97;Old country bulldog
98;Old english sheepdog
99;Otterhound
100;Papillon
101;Pékinois
102;Pinscher
103;Pinscher allemand
104;Pinscher autrichien à poil court
105;Pinscher nain
106;Pitbull
107;Pointer
108;Poitevin
109;Ratier
110;Retriever
111;Retriever à poil bouclé
112;Retriever à poil plat
113;Retriever de la baie de chesapeake
114;Retriever de la Nouvelle-Ecosse
115;Retriever doré
116;Retriever du labrador
117;Riezenschnauzer
118;Rottweiler
119;Russian toy
120;Russkaya psovaya borzaya
121;Russkiy toy
122;Saint bernard
123;Schipperke
124;setter
125;Sharpei
126;Sheltie
127;Shetland sheepdog
128;Shiba
129;Shiba inu
130;Shichon
131;Shih tzu
132;Spitz
133;Spitz allemand
134;Staffie
135;Staffordshire bull terrier
136;Staffordshire terrier
137;Teckel
138;Terre-neuve
139;Terrier
140;Terrier tibétain
141;Tosa
142;Toy-terrier
143;U cursinu
144;Vallhund suédois
145;Vizsla
146;Waterside-terrier
147;Weimaraner
148;Weisser schweizer schäferhund
149;Welsh corgi
150;Welsh corgi cardigan
151;Welsh corgi pembroke
152;Welsh springer spaniel
153;Welsh terrier
154;West-highland white-terrier
155;Westfälische dachsbracke
156;Westie
157;Wetterhoun
158;Whippet
159;Wolfhound
160;Xoloitzcuintle
161;Yorkshire
162;Yorshire
163;Youjak
164;Zwergaffen
165;Zwergpinscher
166;Zwergschnauzer
167;Bull terrier
168;Fauve de Bretagne
