idRace,nomRace
1,Affenpinscher
2,Akita
3,American Bully
4,American Staffordshire Terrier
5,Amstaff
6,Barzoï
7,Basset des Alpes
8,Beagle
9,Beauceron
10,Berger
11,Berger allemand
12,Berger Australien
13,Berger belge malinois
14,Berger de Beauce
15,Bernhardiner
16,Bichon havanais
17,Bichon havanais
18,Bichon maltais
19,Billy
20,Boerbull
21,Boersoel
22,Border collie
23,Bouledogue
24,Bouledogue Anglais 
25,Bouledogue français
26,Bouvier bernois
27,Boxer
28,Bulldog anglais
29,Bullmastiff
30,Cane corso
31,Caniche
32,Carlin
33,Cavalier King Charles
34,Cavalier King Charles Spaniel
35,Chasse
36,Chihuahua
37,Cocker
38,Cocker américain
39,Cocker anglais
40,Colley
41,Dalmatien
42,Danois
43,Dobermann
44,Dogue allemand
45,Dogue argentin
46,Épagneul
47,Épagneul tibétain
48,Eurasier
49,Fauve de bretagne
50,Fox terrier
51,Golden Retriever 
52,Griffon
53,Groenendael
54,Hokkaïdo
55,Husky
56,Irish setter
57,Irish terrier
58,Irish wolfhound
59,Italian greyhound
60,Jack Russell
61,Jack Russell
62,Jagdterrier allemand
63,Komondor 
64,Labrador
65,Landseer
66,Lévrier
67,Lévrier afghan
68,Lévrier anglais
69,Lévrier ecossais
70,Lévrier espagnol
71,Lévrier hongrois
72,Lévrier irlandais
73,Lévrier polonais
74,Lévrier sicilien
75,Lévrier whippet
76,Lhassa apso
77,Loulou nain
78,Malinois
79,Maltais
80,Manchester terrier
81,Mastiff
82,Mastiff tibétain
83,Mâtin de navarre
84,Mâtin des pyrénées
85,Mâtin espagnol
86,Mâtin napolitain
87,Montagne des pyrénées
88,Mops
89,Newfoundland
90,Norfolk-terrier
91,Norwich terrier
92,Old country bulldog
93,Old english sheepdog
94,Otterhound
95,Pékinois
96,Pinscher
97,Pinscher allemand
98,Pinscher autrichien à poil court
99,Pinscher nain
100,Pitbull
101,Pointer
102,Poitevin
103,Ratier
104,Retriever
105,Retriever à poil bouclé
106,Retriever à poil plat
107,Retriever de la baie de chesapeake
108,Retriever de la Nouvelle-Ecosse
109,Retriever doré
110,Retriever du labrador
111,Riezenschnauzer
112,Rottweiler
113,Russian toy
114,Russkaya psovaya borzaya
115,Russkiy toy
116,Saint bernard
117,Schipperke
118,Sharpei
119,Sheltie
120,Shetland sheepdog
121,Shiba
122,Shiba inu
123,Shichon
124,Shih tzu
125,Spitz
126,Spitz allemand
127,Staffordshire bull terrier
128,Staffordshire terrier
129,Teckel
130,Terre-neuve
131,terrier
132,Terrier tibétain
133,Tosa
134,Toy-terrier
135,U cursinu 
136,Vallhund suédois
137,Vizsla
138,Waterside-terrier
139,Weimaraner
140,Weisser schweizer schäferhund
141,Welsh corgi
142,Welsh corgi cardigan
143,Welsh corgi pembroke
144,Welsh springer spaniel
145,Welsh terrier
146,West-highland white-terrier
147,Westfälische dachsbracke
148,Westie
149,Wetterhoun
150,Whippet
151,Wolfhound
152,Xoloitzcuintle 
153,Yorkshire
154,Yorshire
155,Youjak
156,Zwergaffen
157,Zwergpinscher
158,Zwergschnauzer
